,dataset,game_id,date,player_id,player,position,home_team,away_team,venue,starter,minutes,field_goals,field_goals_attempts,3_point,3_point_attempts,free_throw,free_throw_attempts,offensive_rebound,defensive_rebound,total_rebound,assists,personal_fouls,steals,turnovers,blocks,points,usage_rate,days_rest
81,NBA 2021-2022 Regular Season,22100004,10-20-2021,1628977.0,Hamidou Diallo,G,Detroit,Chicago,H,N,15.2,2.0,5.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,8.0,19.10871633972148,3+
82,NBA 2021-2022 Regular Season,22100004,10-20-2021,1626168.0,Trey Lyles,F,Detroit,Chicago,H,N,16.73,2.0,4.0,0.0,1.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,2.0,2.0,0.0,4.0,15.40932854722409,3+
83,NBA 2021-2022 Regular Season,22100004,10-20-2021,1628367.0,Josh Jackson,G-F,Detroit,Chicago,H,N,18.63,3.0,7.0,1.0,3.0,0.0,1.0,1.0,3.0,4.0,2.0,2.0,0.0,3.0,1.0,7.0,24.077758232710835,3+
84,NBA 2021-2022 Regular Season,22100005,10-20-2021,1628369.0,Jayson Tatum,F-G,Boston,New York,R,Y,44.65,7.0,30.0,2.0,15.0,4.0,5.0,4.0,7.0,11.0,4.0,2.0,1.0,3.0,1.0,20.0,31.50807888378433,3+
85,NBA 2021-2022 Regular Season,22100005,10-20-2021,1629684.0,Grant Williams,F,Boston,New York,R,Y,31.48,6.0,9.0,3.0,5.0,0.0,0.0,0.0,5.0,5.0,4.0,5.0,1.0,2.0,1.0,15.0,13.965570621833011,3+
86,NBA 2021-2022 Regular Season,22100005,10-20-2021,1629057.0,Robert Williams III,C-F,Boston,New York,R,Y,44.8,5.0,5.0,0.0,0.0,6.0,8.0,3.0,7.0,10.0,3.0,1.0,3.0,0.0,5.0,16.0,7.600852496456135,3+
87,NBA 2021-2022 Regular Season,22100005,10-20-2021,1627759.0,Jaylen Brown,G-F,Boston,New York,R,Y,45.95,16.0,30.0,8.0,14.0,6.0,8.0,0.0,9.0,9.0,6.0,5.0,3.0,4.0,1.0,46.0,32.634580754451235,3+
88,NBA 2021-2022 Regular Season,22100005,10-20-2021,203935.0,Marcus Smart,G,Boston,New York,R,Y,45.92,5.0,14.0,5.0,11.0,0.0,0.0,0.0,8.0,8.0,6.0,3.0,2.0,4.0,0.0,15.0,15.666477148312197,3+
89,NBA 2021-2022 Regular Season,22100005,10-20-2021,203471.0,Dennis Schroder,G,Boston,New York,R,N,32.02,5.0,16.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,8.0,3.0,2.0,2.0,0.0,12.0,23.565756517942543,3+
90,NBA 2021-2022 Regular Season,22100005,10-20-2021,1629641.0,Romeo Langford,G-F,Boston,New York,R,N,22.6,4.0,6.0,2.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0,0.0,10.0,15.916031651559646,3+
